project_name,status,project_dir,report_path,log_path,return_code,elapsed_s
baseline,success,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/dataset/handcrafted/0_5/cross-function/baseline,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/tools_analysis/non_smartbugs/aderyn/results_0_5/reports/baseline.json,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/tools_analysis/non_smartbugs/aderyn/results_0_5/logs/baseline.log,0,0.97
mod,success,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/dataset/handcrafted/0_5/cross-function/guard/mutex/mod,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/tools_analysis/non_smartbugs/aderyn/results_0_5/reports/mod.json,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/tools_analysis/non_smartbugs/aderyn/results_0_5/logs/mod.log,0,0.99
baseline,success,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/dataset/handcrafted/0_5/single-function/low-level-call/to-sender/baseline,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/tools_analysis/non_smartbugs/aderyn/results_0_5/reports/baseline.json,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/tools_analysis/non_smartbugs/aderyn/results_0_5/logs/baseline.log,0,0.98
gas,success,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/dataset/handcrafted/0_5/single-function/low-level-call/to-sender/gas,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/tools_analysis/non_smartbugs/aderyn/results_0_5/reports/gas.json,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/tools_analysis/non_smartbugs/aderyn/results_0_5/logs/gas.log,0,1.13
folded,success,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/dataset/handcrafted/0_5/single-function/low-level-call/to-sender/folded,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/tools_analysis/non_smartbugs/aderyn/results_0_5/reports/folded.json,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/tools_analysis/non_smartbugs/aderyn/results_0_5/logs/folded.log,0,1.58
no-mod,success,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/dataset/handcrafted/0_5/cross-function/guard/mutex/no-mod,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/tools_analysis/non_smartbugs/aderyn/results_0_5/reports/no-mod.json,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/tools_analysis/non_smartbugs/aderyn/results_0_5/logs/no-mod.log,0,1.82
block-number,success,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/dataset/handcrafted/0_5/single-function/low-level-call/to-sender/guard/block-number,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/tools_analysis/non_smartbugs/aderyn/results_0_5/reports/block-number.json,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/tools_analysis/non_smartbugs/aderyn/results_0_5/logs/block-number.log,0,2.44
mod,success,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/dataset/handcrafted/0_5/single-function/low-level-call/to-sender/guard/mutex/single-flag/mod,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/tools_analysis/non_smartbugs/aderyn/results_0_5/reports/mod.json,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/tools_analysis/non_smartbugs/aderyn/results_0_5/logs/mod.log,0,1.81
mod,success,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/dataset/handcrafted/0_5/single-function/low-level-call/to-sender/guard/mutex/multi-flag/mod,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/tools_analysis/non_smartbugs/aderyn/results_0_5/reports/mod.json,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/tools_analysis/non_smartbugs/aderyn/results_0_5/logs/mod.log,0,2.34
no-mod,success,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/dataset/handcrafted/0_5/single-function/low-level-call/to-sender/guard/mutex/multi-flag/no-mod,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/tools_analysis/non_smartbugs/aderyn/results_0_5/reports/no-mod.json,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/tools_analysis/non_smartbugs/aderyn/results_0_5/logs/no-mod.log,0,2.00
parameter,success,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/dataset/handcrafted/0_5/single-function/low-level-call/to-target/parameter,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/tools_analysis/non_smartbugs/aderyn/results_0_5/reports/parameter.json,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/tools_analysis/non_smartbugs/aderyn/results_0_5/logs/parameter.log,0,0.66
constant,success,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/dataset/handcrafted/0_5/single-function/low-level-call/to-target/constant,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/tools_analysis/non_smartbugs/aderyn/results_0_5/reports/constant.json,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/tools_analysis/non_smartbugs/aderyn/results_0_5/logs/constant.log,0,0.72
constructor,success,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/dataset/handcrafted/0_5/single-function/low-level-call/to-target/constructor,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/tools_analysis/non_smartbugs/aderyn/results_0_5/reports/constructor.json,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/tools_analysis/non_smartbugs/aderyn/results_0_5/logs/constructor.log,0,0.73
no-mod,success,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/dataset/handcrafted/0_5/single-function/low-level-call/to-sender/guard/mutex/single-flag/no-mod,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/tools_analysis/non_smartbugs/aderyn/results_0_5/reports/no-mod.json,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/tools_analysis/non_smartbugs/aderyn/results_0_5/logs/no-mod.log,0,0.92
baseline,success,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/dataset/handcrafted/0_5/single-function/method-invocation/baseline,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/tools_analysis/non_smartbugs/aderyn/results_0_5/reports/baseline.json,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/tools_analysis/non_smartbugs/aderyn/results_0_5/logs/baseline.log,0,0.55
folded,success,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/dataset/handcrafted/0_5/single-function/method-invocation/folded,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/tools_analysis/non_smartbugs/aderyn/results_0_5/reports/folded.json,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/tools_analysis/non_smartbugs/aderyn/results_0_5/logs/folded.log,0,0.56
