[INFO] | 2025-11-09 11:20:39 AM | analyzer.TemporalLocker_safe1 | Analysis started at: 2025-11-09 11:20:39 AM
[INFO] | 2025-11-09 11:20:40 AM | analyzer.TemporalLocker_safe1 | DAO dependency detected in file TemporalLocker_safe1.sol in contract TemporalLocker_safe1 in by composing functions collectFees and collectFees
[INFO] | 2025-11-09 11:20:40 AM | analyzer.TemporalLocker_safe1 | Dependency detection finished!
[INFO] | 2025-11-09 11:20:40 AM | analyzer.TemporalLocker_safe1 | Static Analysis took 0.528488 seconds
[INFO] | 2025-11-09 11:20:40 AM | analyzer.TemporalLocker_safe1 | Dependency exists
[INFO] | 2025-11-09 11:20:40 AM | analyzer.TemporalLocker_safe1 | Invoking symbolic executor!
[INFO] | 2025-11-09 11:20:41 AM | analyzer.TemporalLocker_safe1 | Symbolic execution took 1.431412 seconds
[INFO] | 2025-11-09 11:20:41 AM | analyzer.TemporalLocker_safe1 | Symbolic execution finished!
[INFO] | 2025-11-09 11:20:41 AM | analyzer.TemporalLocker_safe1 | Analysis finished!
[INFO] | 2025-11-09 11:20:41 AM | analyzer.TemporalLocker_safe1 | Analysis took 1.962738 seconds
[INFO] | 2025-11-09 11:20:41 AM | analyzer.TemporalLocker_safe1 | Analysis finished at: 2025-11-09 11:20:41 AM
